word,answer
abcdefghij,NONE
absorbsion,absorption
abundacies,NONE
accomadate,accommodate
accomadates,accommodates
accomadation,accommodation
accomadations,accommodations
acheivment,achievement
acheivments,achievements
acquiantences,acquaintances
acustommed,accustomed
admininistrative,administrative
adn,a aa aaa aah ab aba abc abdo abe abo abs abt abu ac aca ace ack acne act ad ada adah adak adam adan adar adas aday add adds addy ade adee adel aden adena ader ades adey adia adid adin adina adine adlon adman admen admin adnan adney ado adon ador adorn adra ads adss advo ady adz ae aer aft ag aga agan age agin agna agne ago ags ah aha ahh ahl ahn aho ahr ahs ai aid aida aidan aide aiden aids ail aim aine aint ainu air ais aix aja aka akc ake aken aki akin al ala alan alda alden aldi aldin aldo ale alf ali all alm alon als alt alu alun aly am aman amc amd ame amen ami amin amo amon amp amr ams amy an ana and ando ands andy ane ang ann anna anne anno anns anny ano ant any aoi aol aon aoun ap apc ape app apt ar ara aran arb arc ard arda arden ardin are aren ari ark arm arn arne arnn arno arns aro aron arp art arx ary as asa asda ash ask asp ass ast at ata ate aten atm aton atp atv atx atz au aud auden audi aue auen aug aul aune aung aunt aus aux av ava ave aven avi avon aw awan awb awe ax axa axe axon axt ay aydin aydt aye ayn ayo ayon ayr bad bada bade baden badu bady bahn bain ban band bann barn baun ben bin bon bun caan cad cada cade cads cady caen cahn cain can cann carn cd cdc cds cnn con d da dab dac dad dada dade dado dads dady dae dag dah dahn dai dain dak dal dam damn dan dana dane dang dani dank dann dano dans dant danz dao dar darn das dat dau daun daw dawn dax day dc ddt de dean den di dian din dk dna dnc do doan don dr ds du duan dun dwan dyan eade eads eady earn ed eda edan ede eden edi edin edna edo eds edu ein en end eon fad fade faden fads fain fan fann fawn fd fen fin fun gad gadd gade gads gahn gain gan gann garn gen gin gun gyn haan had hada hadd hade haden hadnt haen hahn hain han hand hann harn haun hawn haydn hayn hen hon hun iain ian ibn id ida ide iden ido ids in inn ion jaan jade jahn jain jan jann jen jin jon jun kade kaden kady kahn kain kan kann karn ken kin kon kun lad lada ladd lade laden lads lady lahn lain lan land lann laun lawn len lin ln lon lpn lun lyn mad mada madan madd made maden madl mady mahn main man mann men min mon mun n na nad nada nan non nun oad oda odd ode oden odin odp on orn own pad paden pads pain pan pawn payn pen pin pon pun qin rad rada raden radi radin rado radon radu rady rahn rain ran rand rann raun ren ron run sad sada sado sain san sand sdn sen sin son sun syn tad tada tadd tan tann ten tin ton ude uden udo udy un und urn vaden vain van vann varn vin von wad wada wade wads wain waln wan wand wann warn wen win won xan yaden yadon yahn yan yarn yaun yawn yen yin yon yun zada zahn zain zan zand zaun zen zon
adresable,addressable advisable agreeable agregable
adresing,addressing adhering advising agreeing arising arresting diesing dressing duesing
aerate,abate abbate acetate aerie aerts agate arabe arata arzate average belate berate berated berte crate create curate debate elate erase erte frate gerace grate gyrate iafrate irate karate lacerate legate narrate negate operate overate pirate rate rebate relate renate sedate senate serrate strate teate zarate
aeronautics,OK
afficianados,aficionados
ahev,abe abed abee abel aber abet abex ace aced acer aces acey ache ached achee aches achey ade adee adel aden ader ades adey ae aer age aged agee ager ages ah aha ahab ahah ahead ahern ahh ahl ahlen ahles ahlf ahmed ahn ahner aho ahoy ahr ahren ahs ake akel aken aker akey ale alec alem aleo ales aleve alex aley ame amen amer ames amev amex amey ane anew ape apec apel apes apex are area arel aren ares arey arve asea ashe ashen asher ashes ashey ate atek aten ater ates athey atv aue auel auen auer av ave aven aver avey aviv awe awed axe axed axel axes aye ayer ayes bahe bev biev che chea chee chef chek chem chen cher ches chet chevy chew chez daher dev ev fahey ghee ghez haen harv have he hed hee heh hem hen hep her hes hew hex hey khe khem kiev lahey lev mahe mahen maher maheu phen phew rahe rev rhea rhee rhem rhew she shea shed shek shen shep sher shes shew taher the thea thee them then theo thew they uher vahey when whet whew whey zaher zev
